Record_ID,Timestamp,Building,Floor,Zone,Connected_Users,Bandwidth_Usage_MB,Download_Speed_Mbps,Upload_Speed_Mbps,Latency_ms,Packet_Loss_Percent,Signal_Strength_dBm,Weather,Event_Occurring,Congestion_Status,Traffic_Level,Network_Health
1,2025-09-12 01:18:00,AMENITY,GROUND,Music Room,100,1137.17,95.0,50.0,73.0,3.39,-58.0,Rainy,Culturals,Medium,Moderate,Good
2,2025-03-02 18:18:00,MECH_BLOCK,GROUND,FABLAB,63,747.05,115.35,59.25,48.95,1.87,-57.0,Sunny,No_Event,Low,Light,Excellent
3,2025-05-19 05:21:00,MARIO,GROUND,Snack Corner,115,1323.06,86.75,46.25,82.75,2.81,-58.0,Sunny,No_Event,Medium,Moderate,Good
4,2025-04-19 20:10:00,AI_BLOCK,FLOOR3,Data Visualization Lab,94,1395.81,98.3,51.5,69.1,3.31,-44.0,Rainy,No_Event,Low,Light,Good
5,2025-12-06 22:12:00,MAIN_BLOCK,FLOOR2,IT Project Lab,57,828.78,118.65,60.75,45.05,3.57,-72.0,Sunny,Freshwarite,Low,Light,Excellent
6,2025-02-17 07:48:00,AI_BLOCK,FLOOR3,Cyber Lab,99,702.74,95.55,50.25,72.35,3.47,-46.0,Cloudy,No_Event,Low,Light,Good
7,2025-11-16 16:17:00,MECH_BLOCK,FLOOR1,Classroom,164,1821.93,59.8,34.0,114.6,3.84,-63.0,Cloudy,Thiran,Medium,Moderate,Poor
8,2025-05-21 11:23:00,AI_BLOCK,FLOOR3,Cyber Lab,150,1340.83,67.5,37.5,105.5,4.64,-41.0,Cloudy,No_Event,Medium,Moderate,Poor
9,2025-01-17 03:27:00,AI_BLOCK,FLOOR1,Classroom,92,1037.83,99.4,52.0,67.8,4.27,-36.0,Sunny,No_Event,Low,Light,Good
10,2025-09-19 17:36:00,AMENITY,GROUND,Music Room,48,621.61,123.6,63.0,39.2,1.86,-57.0,Sunny,Freshwarite,Low,Light,Excellent
11,2025-11-30 20:34:00,MECH_BLOCK,GROUND,FABLAB,74,970.26,109.3,56.5,56.1,3.19,-39.0,Sunny,Culturals,Low,Light,Excellent
12,2025-07-17 18:46:00,AMENITY,GROUND,Food Court,183,1202.68,49.35,29.25,126.95,4.78,-57.0,Sunny,Culturals,High,Heavy,Poor
13,2025-01-18 00:58:00,AI_BLOCK,FLOOR2,GenAI Lab,86,1068.05,102.7,53.5,63.9,3.74,-55.0,Rainy,No_Event,Low,Light,Good
14,2025-03-24 18:16:00,MECH_BLOCK,FLOOR1,Classroom,102,1434.31,93.9,49.5,74.3,3.49,-49.0,Rainy,No_Event,Medium,Moderate,Good
15,2025-10-13 15:57:00,MAIN_BLOCK,FLOOR1,Auditorium,254,2047.03,10.3,11.5,173.1,5.73,-59.0,Sunny,Freshwarite,High,Heavy,Poor
16,2025-01-31 06:25:00,AMENITY,GROUND,Food Court,172,2276.08,55.4,32.0,119.8,4.31,-51.0,Cloudy,FlashMob,Medium,Moderate,Poor
17,2025-07-20 04:09:00,MECH_BLOCK,GROUND,FABLAB,101,706.04,94.45,49.75,73.65,2.98,-68.0,Rainy,FlashMob,Medium,Moderate,Good
18,2025-12-13 13:26:00,MAIN_BLOCK,GROUND,Classroom,104,1077.8,92.8,49.0,75.6,3.96,-39.0,Cloudy,Culturals,Medium,Moderate,Good
19,2025-04-26 03:58:00,AI_BLOCK,FLOOR2,Vista Hall,266,2932.1,8.0,8.5,180.9,6.63,-58.0,Rainy,Thiran,High,Heavy,Poor
20,2025-12-02 04:50:00,MAIN_BLOCK,GROUND,Chemistry Lab,95,601.54,97.75,51.25,69.75,3.62,-79.0,Sunny,No_Event,Low,Light,Good
21,2025-10-01 15:50:00,AMENITY,GROUND,Food Court,40,326.24,128.0,65.0,34.0,1.59,-37.0,Sunny,No_Event,Low,Light,Excellent
22,2025-06-13 07:27:00,AI_BLOCK,FLOOR3,Cyber Lab,107,719.86,91.15,48.25,77.55,3.38,-64.0,Cloudy,Freshwarite,Medium,Moderate,Good
23,2025-09-13 20:52:00,AI_BLOCK,FLOOR2,Vista Hall,293,3960.69,8.0,5.0,198.45,7.0,-75.0,Cloudy,Thiran,High,Heavy,Poor
24,2025-01-11 21:48:00,MECH_BLOCK,FLOOR2,Lab,98,782.25,96.1,50.5,71.7,3.88,-62.0,Rainy,No_Event,Low,Light,Good
25,2025-05-30 04:35:00,AI_BLOCK,FLOOR1,ML Lab,79,748.97,106.55,55.25,59.35,3.95,-80.0,Sunny,No_Event,Low,Light,Excellent
26,2025-01-06 15:55:00,MECH_BLOCK,GROUND,FABLAB,141,1533.1,72.45,39.75,99.65,4.71,-74.0,Sunny,FlashMob,Medium,Moderate,Good
27,2025-09-07 03:05:00,MECH_BLOCK,FLOOR2,Lab,99,826.4,95.55,50.25,72.35,4.47,-69.0,Sunny,No_Event,Low,Light,Good
28,2025-03-23 19:16:00,MAIN_BLOCK,FLOOR1,Classroom,48,408.47,123.6,63.0,39.2,2.86,-65.0,Rainy,Freshwarite,Low,Light,Excellent
29,2025-09-27 14:15:00,MAIN_BLOCK,GROUND,Classroom,192,1431.29,44.4,27.0,132.8,6.14,-61.0,Sunny,Culturals,High,Heavy,Poor
30,2025-04-03 13:12:00,AI_BLOCK,FLOOR2,Classroom,188,1886.73,46.6,28.0,130.2,6.25,-45.0,Sunny,No_Event,High,Heavy,Poor
31,2025-01-27 17:07:00,BUS_AREA,GROUND,Bus Bay,87,1106.5,102.15,53.25,64.55,3.54,-74.0,Sunny,No_Event,Low,Light,Good
32,2025-06-28 06:07:00,MAIN_BLOCK,GROUND,Classroom,61,499.95,116.45,59.75,47.65,3.67,-36.0,Rainy,No_Event,Low,Light,Excellent
33,2025-04-15 17:30:00,MAIN_BLOCK,FLOOR2,Computer Lab,60,631.42,117.0,60.0,47.0,2.85,-48.0,Rainy,No_Event,Low,Light,Excellent
34,2025-04-30 07:56:00,MAIN_BLOCK,FLOOR1,Classroom,74,955.86,109.3,56.5,56.1,2.07,-37.0,Rainy,No_Event,Low,Light,Excellent
35,2025-08-01 05:48:00,AMENITY,GROUND,Food Court,45,419.91,125.25,63.75,37.25,1.43,-57.0,Cloudy,No_Event,Low,Light,Excellent
36,2025-04-02 05:33:00,AMENITY,GROUND,Music Room,99,1354.03,95.55,50.25,72.35,3.07,-60.0,Sunny,No_Event,Low,Light,Good
37,2025-07-06 06:46:00,HOSTEL_GIRLS,GROUND,Hostel,57,627.64,118.65,60.75,45.05,3.51,-78.0,Sunny,No_Event,Low,Light,Excellent
38,2025-02-20 16:31:00,AI_BLOCK,FLOOR2,Vista Hall,319,3402.12,8.0,5.0,215.35,8.63,-64.0,Rainy,Thiran,High,Heavy,Poor
39,2025-09-30 22:02:00,BUS_AREA,GROUND,Bus Bay,81,1076.02,105.45,54.75,60.65,3.74,-56.0,Cloudy,Freshwarite,Low,Light,Good
40,2025-06-02 18:03:00,AI_BLOCK,FLOOR2,Vista Hall,231,3045.66,22.95,17.25,158.15,6.42,-65.0,Cloudy,Freshwarite,High,Heavy,Poor
41,2025-12-03 07:39:00,MECH_BLOCK,FLOOR1,Classroom,54,506.53,120.3,61.5,43.1,1.77,-58.0,Rainy,Freshwarite,Low,Light,Excellent
